date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:20:12	70/70	---M-Z	-1	error ('Open%20error%20when%20decompressing%20(can%20not%20create%20temporary%20file%20/tmp0.z)')	text/plain	date:Fri,%2013%20Mar%202026%2020:20:11%20GMT	https://obierzynscy-ogrody.pl/robots.txt		(from )
21:20:13	90770/90770	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Mar%202026%2020:20:12%20GMT	https://obierzynscy-ogrody.pl/	obierzynscy-ogrody.pl/index.html	(from )
21:20:13	80354/80354	---M--	200	added ('OK')	image/jpeg	etag:%22139e2-5c619790-6f83ba8659fed8c4;;;%22	https://obierzynscy-ogrody.pl/wp-content/uploads/elementor/thumbs/Ogr%c3%b3d-w-Sosnowicach-10-o2u50978b9jwmzc0ha7bpxmtwfcehwxqpl53xnihzk.jpg	obierzynscy-ogrody.pl/wp-content/uploads/elementor/thumbs/Ogr%c3%b3d-w-Sosnowicach-10-o2u50978b9jwmzc0ha7bpxmtwfcehwxqpl53xnihzk.jpg	(from https://obierzynscy-ogrody.pl/)
21:20:14	95348/95348	---M-Z	200	added ('OK')	text/css	etag:%2239de-5ca48c8a-0;gz%22	https://obierzynscy-ogrody.pl/wp-content/cache/minify/4f794.css	obierzynscy-ogrody.pl/wp-content/cache/minify/4f794.css	(from https://obierzynscy-ogrody.pl/)
21:20:15	1146/1146	---M--	200	added ('OK')	application/rss+xml	etag:%220bd4e39a4f8d731a4b15b05395dcb512%22	https://obierzynscy-ogrody.pl/feed/	obierzynscy-ogrody.pl/feed/index.html	(from https://obierzynscy-ogrody.pl/)
21:20:15	1041/1041	---M--	200	added ('OK')	application/rss+xml	etag:%22b8e19c4e4aaf3ffc25182e064196dca0%22	https://obierzynscy-ogrody.pl/comments/feed/	obierzynscy-ogrody.pl/comments/feed/index.html	(from https://obierzynscy-ogrody.pl/)
21:20:15	3304/3304	---M-Z	200	added ('OK')	application/x-font-woff	etag:%22ce8-5c337292-dff9309e81498a15;gz%22	https://obierzynscy-ogrody.pl/wp-content/themes/astra/assets/fonts/astra.woff	obierzynscy-ogrody.pl/wp-content/themes/astra/assets/fonts/astra.woff	(from https://obierzynscy-ogrody.pl/)
21:20:16	753649/753649	---M-Z	200	added ('OK')	text/css	etag:%2215880-5ca48c8c-0;gz%22	https://obierzynscy-ogrody.pl/wp-content/cache/minify/2aa72.css	obierzynscy-ogrody.pl/wp-content/cache/minify/2aa72.css	(from https://obierzynscy-ogrody.pl/)
21:20:17	132977/132977	---M-Z	200	added ('OK')	application/x-javascript	etag:%22ae7f-5ca48c8c-0;gz%22	https://obierzynscy-ogrody.pl/wp-content/cache/minify/403db.js	obierzynscy-ogrody.pl/wp-content/cache/minify/403db.js	(from https://obierzynscy-ogrody.pl/)
21:20:18	840/840	---M-Z	200	added ('OK')	text/xml	date:Fri,%2013%20Mar%202026%2020:20:18%20GMT	https://obierzynscy-ogrody.pl/xmlrpc.php?rsd	obierzynscy-ogrody.pl/xmlrpc0db0.php	(from https://obierzynscy-ogrody.pl/)
21:20:19	1045/1045	---M-Z	200	added ('OK')	application/xml	etag:%22415-52a8b3a8-2620709453156a97;gz%22	https://obierzynscy-ogrody.pl/wp-includes/wlwmanifest.xml	obierzynscy-ogrody.pl/wp-includes/wlwmanifest.xml	(from https://obierzynscy-ogrody.pl/)
21:20:20	2322/2322	---M-Z	200	added ('OK')	application/json	date:Fri,%2013%20Mar%202026%2020:20:20%20GMT	https://obierzynscy-ogrody.pl/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fobierzynscy-ogrody.pl%2F	obierzynscy-ogrody.pl/wp-json/oembed/1.0/embede28a.json	(from https://obierzynscy-ogrody.pl/)
21:20:20	83896/83896	---MCZ	200	added ('OK')	application/json	date:Fri,%2013%20Mar%202026%2020:20:19%20GMT	https://obierzynscy-ogrody.pl/wp-json/	obierzynscy-ogrody.pl/wp-json/index.html	(from https://obierzynscy-ogrody.pl/)
21:20:21	2687/2687	---M-Z	200	added ('OK')	text/xml	date:Fri,%2013%20Mar%202026%2020:20:21%20GMT	https://obierzynscy-ogrody.pl/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fobierzynscy-ogrody.pl%2F&format=xml	obierzynscy-ogrody.pl/wp-json/oembed/1.0/embed16ba	(from https://obierzynscy-ogrody.pl/)
21:20:23	16406/16406	---M--	200	added ('OK')	image/png	etag:%224016-5c3c75db-92362884f0a45325;;;%22	https://obierzynscy-ogrody.pl/wp-content/uploads/2019/01/obierzynscy-ogrody-logo2.png	obierzynscy-ogrody.pl/wp-content/uploads/2019/01/obierzynscy-ogrody-logo2.png	(from https://obierzynscy-ogrody.pl/)
